fossil fuels: ,nuclear: ,solar: ,wind: ,hydroelectricity: ,tide and wave: ,geothermal: ,biomass and waste: 
15.9,0.0,5.1,0.0,79.1,0.0,0.0,0.0
0.0,0.0,0.6,0.0,99.4,0.0,0.0,0.0
98.9,0.0,0.9,0.0,0.1,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.4,0.0,0.1,0.0,70.1,0.0,0.0,1.4
95.4,0.0,4.6,0.0,0.0,0.0,0.0,0.0
65.8,7.3,1.0,6.8,17.6,0.0,0.0,1.5
40.6,34.8,0.3,0.0,24.3,0.0,0.0,0.0
83.3,0.0,1.2,15.4,0.0,0.0,0.0,0.0
75.4,0.0,8.6,8.4,6.2,0.0,0.0,1.4
17.4,0.0,2.8,9.4,62.9,0.0,0.0,7.4
94.2,0.0,0.2,0.4,4.4,0.0,0.0,0.8
99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.6,0.0,0.6,0.0,0.8,0.0,0.0,0.0
95.9,0.0,4.1,0.0,0.0,0.0,0.0,0.0
95.8,0.9,0.5,0.5,1.1,0.0,0.0,1.2
33.1,38.1,5.8,15.0,0.3,0.0,0.0,7.7
63.6,0.0,0.2,0.0,13.4,0.0,0.0,22.9
96.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
64.4,0.0,2.6,0.7,30.5,0.0,0.0,1.8
62.8,0.0,0.3,1.5,35.4,0.0,0.0,0.1
99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
11.8,2.3,1.7,9.2,65.8,0.0,0.0,9.2
98.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0
100.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
36.5,44.7,4.0,4.0,9.1,0.0,0.0,1.9
89.4,0.0,3.3,0.0,6.9,0.0,0.0,0.4
52.6,0.0,0.1,0.0,47.3,0.0,0.0,0.0
33.3,0.0,2.3,0.0,62.8,0.0,0.0,1.7
80.2,0.0,2.0,17.8,0.0,0.0,0.0,0.0
52.0,0.0,1.2,0.0,45.6,0.0,0.0,1.2
32.5,0.0,0.2,0.0,67.3,0.0,0.0,0.0
16.5,14.7,0.7,5.7,60.8,0.0,0.0,1.6
97.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,99.3,0.0,0.0,0.0
