,region,area (sq km):,latitude,longitude,GDP per capita ($):,fossil fuels (%):,nuclear (%):,solar (%):,wind (%):,hydroelectricity (%):,tide and wave (%):,geothermal (%):,biomass and waste (%):
Afghanistan,South Asia,652230.0,33.0,65.0,1500.0,15.9,0.0,5.1,0.0,79.1,0.0,0.0,0.0
Albania,Europe,28748.0,41.0,20.0,14500.0,0.0,0.0,0.6,0.0,99.4,0.0,0.0,0.0
Algeria,Africa,2381740.0,28.0,3.0,11000.0,98.9,0.0,0.9,0.0,0.1,0.0,0.0,0.0
American Samoa,Australia and Oceania,224.0,-14.2,-170.0,11200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,Africa,1246700.0,-12.3,18.3,5900.0,28.4,0.0,0.1,0.0,70.1,0.0,0.0,1.4
Antigua and Barbuda,Central America and the Caribbean,443.0,17.03,-61.48,19100.0,95.4,0.0,4.6,0.0,0.0,0.0,0.0,0.0
Argentina,South America,2780400.0,-34.0,-64.0,21500.0,65.8,7.3,1.0,6.8,17.6,0.0,0.0,1.5
Armenia,Middle East,29743.0,40.0,45.0,14200.0,40.6,34.8,0.3,0.0,24.3,0.0,0.0,0.0
Aruba,Central America and the Caribbean,180.0,12.3,-69.58,38900.0,83.3,0.0,1.2,15.4,0.0,0.0,0.0,0.0
Australia,Australia and Oceania,7741220.0,-27.0,133.0,49800.0,75.4,0.0,8.6,8.4,6.2,0.0,0.0,1.4
Austria,Europe,83871.0,47.2,13.2,54100.0,17.4,0.0,2.8,9.4,62.9,0.0,0.0,7.4
Azerbaijan,Middle East,86600.0,40.3,47.3,14400.0,94.2,0.0,0.2,0.4,4.4,0.0,0.0,0.8
"Bahamas, The",Central America and the Caribbean,13880.0,24.15,-76.0,30200.0,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Bahrain,Middle East,760.0,26.0,50.33,49400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,South Asia,148460.0,24.0,90.0,5900.0,98.6,0.0,0.6,0.0,0.8,0.0,0.0,0.0
Barbados,Central America and the Caribbean,430.0,13.1,-59.32,13800.0,95.9,0.0,4.1,0.0,0.0,0.0,0.0,0.0
Belarus,Europe,207600.0,53.0,28.0,19800.0,95.8,0.9,0.5,0.5,1.1,0.0,0.0,1.2
Belgium,Europe,30528.0,50.5,4.0,51700.0,33.1,38.1,5.8,15.0,0.3,0.0,0.0,7.7
Belize,Central America and the Caribbean,22966.0,17.15,-88.45,8800.0,63.6,0.0,0.2,0.0,13.4,0.0,0.0,22.9
Benin,Africa,112622.0,9.3,2.15,3300.0,96.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0
Bermuda,North America,54.0,32.2,-64.45,80300.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,South Asia,38394.0,27.3,90.3,10900.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bolivia,South America,1098581.0,-17.0,-65.0,8100.0,64.4,0.0,2.6,0.7,30.5,0.0,0.0,1.8
Bosnia and Herzegovina,Europe,51197.0,44.0,18.0,15700.0,62.8,0.0,0.3,1.5,35.4,0.0,0.0,0.1
Botswana,Africa,581730.0,-22.0,24.0,14800.0,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Brazil,South America,8515770.0,-10.0,-55.0,14600.0,11.8,2.3,1.7,9.2,65.8,0.0,0.0,9.2
British Virgin Islands,Central America and the Caribbean,151.0,18.3,-64.3,34200.0,98.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0
Brunei,East and Southeast Asia,5765.0,4.3,114.4,60100.0,100.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
