name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","$139,100","2009 est.","1","Europe"
"Luxembourg","luxembourg","$115,700","2021 est.","2","Europe"
"Monaco","monaco","$115,700","2015 est.","3","Europe"
"Singapore","singapore","$106,000","2021 est.","4","East and Southeast Asia"
"Ireland","ireland","$102,500","2021 est.","5","Europe"
"Qatar","qatar","$92,900","2021 est.","6","Middle East"
"Isle of Man","isle-of-man","$84,600","2014 est.","7","Europe"
"Bermuda","bermuda","$80,300","2021 est.","8","North America"
"Switzerland","switzerland","$71,000","2021 est.","9","Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015 est.","10","South America"
"United Arab Emirates","united-arab-emirates","$69,700","2021 est.","11","Middle East"
"Cayman Islands","cayman-islands","$67,500","2021 est.","12","Central America and the Caribbean"
"Norway","norway","$65,700","2021 est.","13","Europe"
"Macau","macau","$64,800","2021 est.","14","East and Southeast Asia"
"United States","united-states","$63,700","2021 est.","15","North America"
"Gibraltar","gibraltar","$61,700","2014 est.","16","Europe"
"Brunei","brunei","$60,100","2021 est.","17","East and Southeast Asia"
"Hong Kong","hong-kong","$60,000","2021 est.","18","East and Southeast Asia"
"Denmark","denmark","$58,000","2021 est.","19","Europe"
"Jersey","jersey","$56,600","2016 est.","20","Europe"
"Netherlands","netherlands","$56,600","2021 est.","21","Europe"
"San Marino","san-marino","$56,400","2020 est.","22","Europe"
"Austria","austria","$54,100","2021 est.","23","Europe"
"Iceland","iceland","$53,600","2021 est.","24","Europe"
"Sweden","sweden","$53,600","2021 est.","25","Europe"
"Germany","germany","$53,200","2021 est.","26","Europe"
"Guernsey","guernsey","$52,500","2014 est.","27","Europe"
"Belgium","belgium","$51,700","2021 est.","28","Europe"
"Andorra","andorra","$49,900","2015 est.","29","Europe"
"Australia","australia","$49,800","2021 est.","30","Australia and Oceania"
"Bahrain","bahrain","$49,400","2021 est.","31","Middle East"
"Finland","finland","$48,800","2021 est.","32","Europe"
"Canada","canada","$47,900","2021 est.","33","North America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$46,200","2006 est.","34","North America"
"France","france","$45,000","2021 est.","35","Europe"
"United Kingdom","united-kingdom","$45,000","2021 est.","36","Europe"
"Malta","malta","$44,700","2021 est.","37","Europe"
"Saudi Arabia","saudi-arabia","$44,300","2021 est.","38","Middle East"
"Korea, South","korea-south","$44,200","2021 est.","39","East and Southeast Asia"
"Kuwait","kuwait","$43,900","2020 est.","40","Middle East"
"New Zealand","new-zealand","$42,900","2021 est.","41","Australia and Oceania"
"Israel","israel","$42,100","2021 est.","42","Middle East"
"Italy","italy","$41,900","2021 est.","43","Europe"
"Greenland","greenland","$41,800","2015 est.","44","North America"
"Cyprus","cyprus","$41,700","2021 est.","45","Europe"
"Japan","japan","$40,800","2021 est.","46","East and Southeast Asia"
